	prefix	input_text	target_text
0	0	phố gió	891
1	1	cánh chiều mắt	644
2	2	lúa hương hạt trăng làng nắng mắt	1801
3	3	sông cò quê nắng	370
4	4	hương vườn dáng quê lá	930
5	5	sương chân đường làng phố	506
6	6	vàng miền	2354
7	7	đường nắng	483
8	8	cánh vườn	2355
9	9	áo chân	1623
10	10	gió mây miền	1685
11	11	gió trăng	652
12	12	đêm biển sóng	2322
13	13	tóc mây sông bến chiều nắng	2364
14	14	mây thuyền	2362
15	15	xuân bến bóng mắt	2087
16	16	áo hoàng_hôn chùa làng miền	590
17	17	đêm thơ hồn	2160
18	18	cánh lưng gió	1493
19	19	bến đời dòng	1712
20	20	hương mùa	93
21	21	núi hoa bờ	609
22	22	đời bến	334
23	23	đời quê hồn	772
24	24	đường cỏ	2500
25	25	mái sương đời mùa	376
26	26	hương sương trăng	2156
27	27	hoa bờ sông bến mùa sóng	2132
28	28	cõi gió thuyền sông	2588
29	29	hương sông thơ	1403
30	30	hương xuân mây sóng vương nắng	1518
31	31	tiếng vạt gió màu	342
32	32	lưng chân	1934
33	33	chim sắc làng	1021
34	34	hoa núi mây nắng	1963
35	35	hương sông dòng	557
36	36	gió lá	172
37	37	màu đời mắt	1575
38	38	vạt sương diều cỏ	1026
39	39	mùa xuân	2536
40	40	rừng hoa sắc tiếng lá	1673
41	41	hương sông bóng tre lá nắng	2072
42	42	chân quê vai	2291
43	43	sông môi chiều mắt	1331
44	44	hồng thuyền sông bến	703
45	45	mái bờ chiều	1016
46	46	hoa lưng áo sương chiều vương	2333
47	47	xuân đêm phố	2102
48	48	gió xuân mây chiều	1680
49	49	trưa mưa	2046
50	50	đêm hoàng_hôn bóng quê_hương	1474
51	51	sông bến sóng	277
52	52	cánh cõi bến hoàng_hôn	1360
53	53	sân bờ	2531
54	54	hạt đời đất_trời	1166
55	55	hoa sương quê mưa dòng nắng	2526
56	56	rừng núi sông đò	665
57	57	xuân đường chiều nắng	857
58	58	hương hoa vườn mùa tiếng	411
59	59	cánh xuân vườn lá phố	1111
60	60	hoa xuân chân đường	832
61	61	vương thơ	1920
62	62	đêm tiếng	1130
63	63	biển sóng	2420
64	64	núi mùa đông mưa	2409
65	65	biển sóng	576
66	66	vạt áo bến	1592
67	67	gió cánh quê trưa hồn	1628
68	68	thuyền xuân bến	452
69	69	hương hoa sắc xuân hè mùa lá	786
70	70	tóc sân	317
71	71	mây đường	2060
72	72	đường duyên	2483
73	73	đê mái sông tre	994
74	74	vạt sóng nắng	1425
75	75	lưng hoa	2413
76	76	cau quê trầu hồn	1739
77	77	gió hè bờ sông tre tiếng nắng	149
78	78	vạt gió màu thơ tiếng	342
79	79	hồng phượng hè bóng miền	1427
80	80	bóng trăng	2455
81	81	thềm tóc dáng bến	723
82	82	cánh thuyền xuân bến	452
83	83	thuyền sông trăng biển quê sóng dòng	1353
84	84	vương phố chiều	75
85	85	lúa cánh	1965
86	86	lúa hương hạt trăng quê nắng mắt	594
87	87	sân trăng	2523
88	88	lối vườn mây quê bóng chiều vương	2367
89	89	dáng hoàng_hôn bóng chiều	1178
90	90	sông quê	2516
91	91	hương đời mưa nắng	1361
92	92	đời vai	1942
93	93	mùa làng mắt	1056
94	94	bóng làng tre trưa nắng	200
95	95	biển sóng	372
96	96	hoa trăng quê bóng vương vai hồn	2129
97	97	bến sông	981
98	98	hương lúa	800
99	99	hè chim tiếng lá	1596
100	100	hương hoa sương đông	545
101	101	đêm sóng	147
102	102	lá mùa	611
103	103	hoa gió xuân lối vương	793
104	104	lá mùa	55
105	105	màu quê	1419
106	106	sông đêm sóng miền	589
107	107	lối núi	137
108	108	sông đêm đường quê	808
109	109	thuyền sông bến đò tiếng	1824
110	110	vương thơ	1920
111	111	cánh vườn cò nắng	212
112	112	mây sương hồn	85
113	113	sương tre	1949
114	114	lá mưa	647
115	115	xuân đông	870
116	116	gió biển sóng	2187
117	117	đò bờ chiều	1843
118	118	sông đò chiều dòng	405
119	119	tóc dáng chiều vàng	1065
120	120	mây trăng nắng màu	1020
121	121	hương lối vườn mây quê chiều vương	2367
122	122	mây nắng mắt	1997
123	123	cát áo bờ biển chiều	984
124	124	cát sông phố dòng nắng	371
125	125	hạt gió nắng	2415
126	126	hoa cánh gió xuân lối	793
127	127	núi mây mắt	2475
128	128	dòng mắt	1719
129	129	đất_trời tiếng đường	1814
130	130	hương rừng mây đường	1973
131	131	xuân sương mùa cỏ nắng	450
132	132	bờ sông trăng thơ dòng	1225
133	133	rừng chim	1693
134	134	núi tiếng chim	1904
135	135	lúa hương	1099
136	136	cánh sông chiều tiếng dòng	81
137	137	gió cõi mây mắt	1933
138	138	hoa xuân sông đường vàng dòng	1687
139	139	biển đường	2445
140	140	chiều nắng	1050
141	141	gió mưa	163
142	142	gió áo tiếng	2414
143	143	xuân tiếng đất_trời mắt	1665
144	144	gió bến mưa	112
145	145	vầng hương trăng	2381
146	146	phố ruộng dòng	410
147	147	hoa hoàng_hôn chiều	881
148	148	hương gió lối dáng chiều	1644
149	149	cánh gió sương bóng mùa mưa chiều mắt	2070
150	150	màu bến	508
151	151	tiếng vàng tóc	2467
152	152	áo lối đường mưa	951
153	153	hoa xuân	2312
154	154	cánh chim đêm	637
155	155	tóc gió	970
156	156	lối lá dòng	2211
157	157	đò mái	337
158	158	gió đời chiều mắt	1459
159	159	mây sân bóng chiều	2223
160	160	tóc đê chiều	1445
161	161	hoa xuân thơ cỏ	273
162	162	cánh sông thơ chiều	1722
163	163	màu sương trăng đêm	977
164	164	hương hoa gió cánh đêm mưa	1988
165	165	vạt sắc gió diều trưa	1588
166	166	thềm tóc trăng mắt	1100
167	167	sông trăng đêm vầng	482
168	168	lối mây núi	295
169	169	cò quê làng	61
170	170	vạt gió lối mây trăng	1833
171	171	quê làng nắng	184
172	172	hoa làng	465
173	173	hoa sắc thơ	502
174	174	làng bến duyên sóng	847
175	175	hương rừng đường chiều	325
176	176	thuyền sông sóng nắng	759
177	177	cánh cò chiều	1098
178	178	chiều lối	1136
179	179	gió sương tiếng	950
180	180	cánh xuân chim nắng	607
181	181	mùa mưa nắng phố	46
182	182	hoa đêm mắt	1414
183	183	hồng lá	1296
184	184	sông dòng	557
185	185	lá nắng	1829
186	186	áo mây đất_trời	2023
187	187	lối dòng	706
188	188	lúa mùa làng	1146
189	189	vườn chân xuân	2554
190	190	màu quê vàng	1419
191	191	hương gió đời quê chiều	1563
192	192	môi duyên	1192
193	193	rừng gió tiếng mắt	341
194	194	sắc xuân chân mưa	487
195	195	bóng núi trăng sóng	1928
196	196	hương hoa quê	1702
197	197	hương chùa quê làng chiều	1477
198	198	đê cánh hoàng_hôn quê chiều	1359
199	199	thềm cánh phượng đêm trầu	416
200	200	sông duyên	2555
201	201	sắc bến biển quê sóng tiếng dòng	1987
202	202	hoa cánh lối đêm vàng nắng	1457
203	203	cánh quê quê_hương	1241
204	204	tóc bờ chùa tre	638
205	205	lúa hương	800
206	206	bờ hoa	1084
207	207	núi sông phố	251
208	208	hoa trăng	2508
209	209	cát hạt biển sóng	1044
210	210	hoa cánh vàng	326
211	211	hoa đêm	1414
212	212	lúa xuân đông lá	873
213	213	hương sắc biển đường sóng	230
214	214	gió ruộng làng chiều	1028
215	215	hoa chân cỏ	2246
216	216	cánh đời cò thơ nắng	872
217	217	xuân biển quê_hương	1668
218	218	sương cỏ miền	912
219	219	gió cánh trăng diều	1094
220	220	sông trăng biển quê sóng dòng	1353
221	221	hương xuân mái quê	2104
222	222	thuyền sông bến trăng duyên thơ quê	579
223	223	lối mây	441
224	224	sông dòng duyên	2555
225	225	núi chân bóng	1396
226	226	hoa gió	1994
227	227	sương chân đường phố	506
228	228	thềm sương đêm tiếng vàng	539
229	229	đời mưa chiều	104
230	230	màu mây nắng	1153
231	231	hạt chân quê mưa nắng	715
232	232	làng sóng vàng nắng	1378
233	233	sông cánh cò	769
234	234	xuân chân mắt	59
235	235	rừng vàng lá	247
236	236	hoa sông bờ bến mùa sóng	2132
237	237	bờ vai phố	2404
238	238	hoa xuân làng	1606
239	239	thềm chim đường tiếng nắng	1708
240	240	hoa bờ sóng	1294
241	241	xuân chiều	2091
242	242	gió sông	135
243	243	cánh gió sương chim	1509
244	244	bóng quê chiều	521
245	245	hương rừng đường chiều nắng	325
246	246	hoa sông bến	243
247	247	đêm đường	2162
248	248	lúa mùa chiều lá nắng	391
249	249	gió thuyền mùa chiều lá	1002
250	250	hạt ruộng hoa	144
251	251	gió sông đò mưa	1091
252	252	môi tiếng nắng	49
253	253	bờ trăng dòng	217
254	254	dáng chim mưa chiều nắng	51
255	255	màu sông	231
256	256	vạt áo mưa	2147
257	257	bóng trăng	2191
258	258	sắc xuân mây tiếng	514
259	259	quê lá tre	862
260	260	duyên nắng	1909
261	261	thuyền núi biển hoàng_hôn bóng nắng	266
262	262	áo mưa nắng	643
263	263	bến trăng đò chiều miền	1820
264	264	cõi đời duyên quê làng hồn	196
265	265	đời đêm miền	1339
266	266	chân làng	1242
267	267	đời nắng	790
268	268	thềm núi đời biển	214
269	269	chiều dòng hồn	1589
270	270	thềm sương	2348
271	271	bờ sông dòng	62
